"Site Id","Websitesleutel"
"Install Path","Installatie-pad"
"Enable","Converdo Analytics"
"Website Token","Websitesleutel"
"Account Token","Gebruikerssleutel"
"Encryption Token","Encryptiesleutel"
"Find the website token in the dashboard","De websitesleutel is te vinden in het dashboard"
"Find the account token in the dashboard","De gebruikerssleutel is te vinden in het dashboard"
"Find the encryption token in the dashboard","De encryptiesleutel is te vinden in het dashboard"
"Only when enabled visitor data is tracked","Er wordt enkel data gemeten wanneer ingeschakeld"
"Yes","Ingeschakeld"
"No","Uitgeschakeld"
"Advanced","Geavanceerd"
"Checkout URL","URL Checkout"
"Enter the URL to the checkout page","Voer de URL naar de checkout-pagina in"
